Model:	LI-7810
SN:	TG10-01205
Software Version:	2.0.25
Timestamp:	2022-07-01 10:25:20
Timezone:	US/Alaska
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	¡ÆC	kPa	¡ÆC		¥ìsecs	¡ÆC	counts	¡ÆC	V	CHK
DATA	1657145064	90228080	138	256	2022-07-06	14:04:24	nan	nan	nan	100.231	21.5684	100.754	39.605	0	0	21.5903	-16000	0	16.0909	192
DATA	1657145065	90228080	142	256	2022-07-06	14:04:25	nan	nan	nan	100.231	21.5919	100.753	39.605	0	0	21.6129	-16000	0	16.0894	193
DATA	1657145066	90228080	146	256	2022-07-06	14:04:26	nan	nan	nan	100.232	21.6152	100.754	39.6054	0	0	21.6355	-16000	0	16.0874	242
DATA	1657145067	90228080	150	256	2022-07-06	14:04:27	nan	nan	nan	100.232	21.6385	100.754	39.6057	0	0	21.6586	-16000	0	16.0862	253
DATA	1657145068	90228080	154	256	2022-07-06	14:04:28	nan	nan	nan	100.231	21.6621	100.753	39.6057	0	0	21.6817	-16000	0	16.0847	250
DATA	1657145069	89876890	158	256	2022-07-06	14:04:29	nan	nan	nan	100.231	21.6852	100.752	39.6065	0	0	21.7046	-16000	0	16.0831	 18
DATA	1657145070	89876890	162	256	2022-07-06	14:04:30	nan	nan	nan	100.232	21.708	100.751	39.6065	0	0	21.7274	-16000	0	16.0811	200
DATA	1657145071	89876890	166	256	2022-07-06	14:04:31	nan	nan	nan	100.231	21.7305	100.753	39.6067	0	0	21.7503	-16000	0	16.0796	  8
DATA	1657145072	89876890	170	256	2022-07-06	14:04:32	nan	nan	nan	100.231	21.7529	100.752	39.6073	0	0	21.7732	-16000	0	16.078	214
DATA	1657145073	89876890	174	256	2022-07-06	14:04:33	nan	nan	nan	100.231	21.7732	100.751	39.6073	0	0	21.7943	-16000	0	16.076	217
DATA	1657145074	89876890	178	256	2022-07-06	14:04:34	nan	nan	nan	100.231	21.7952	100.752	39.6079	0	0	21.8172	-16000	0	16.0749	 28
DATA	1657145075	89876890	182	256	2022-07-06	14:04:35	nan	nan	nan	100.231	21.817	100.753	39.6081	0	0	21.8407	-16000	0	16.0737	218
DATA	1657145076	89549064	186	256	2022-07-06	14:04:36	nan	nan	nan	100.231	21.839	100.752	39.6081	0	0	21.8638	-16000	0	16.0721	216
DATA	1657145077	89549064	190	256	2022-07-06	14:04:37	nan	nan	nan	100.231	21.8612	100.753	39.6088	0	0	21.8868	-16000	0	16.0701	 13
DATA	1657145078	89549064	194	256	2022-07-06	14:04:38	nan	nan	nan	100.231	21.8826	100.752	39.6088	0	0	21.91	-16000	0	16.069	124
DATA	1657145079	89549064	198	256	2022-07-06	14:04:39	nan	nan	nan	100.231	21.9039	100.751	39.609	0	0	21.9327	-16000	0	16.0674	228
DATA	1657145080	89549064	202	256	2022-07-06	14:04:40	nan	nan	nan	100.23	21.925	100.75	39.6096	0	0	21.9557	-16000	0	16.0662	103
DATA	1657145081	89549064	206	256	2022-07-06	14:04:41	nan	nan	nan	100.23	21.9443	100.751	39.6096	0	0	21.9772	-16000	0	16.065	158
DATA	1657145082	89549064	210	256	2022-07-06	14:04:42	nan	nan	nan	100.23	21.9652	100.751	39.6102	0	0	22.0002	-16000	0	16.0635	174
DATA	1657145083	89549064	214	256	2022-07-06	14:04:43	nan	nan	nan	100.229	21.9859	100.75	39.6104	0	0	22.0235	-16000	0	16.0623	203
DATA	1657145084	89196920	218	256	2022-07-06	14:04:44	nan	nan	nan	100.23	22.0067	100.751	39.6106	0	0	22.0469	-16000	0	16.0615	196
DATA	1657145085	89196920	222	256	2022-07-06	14:04:45	nan	nan	nan	100.231	22.0277	100.75	39.6111	0	0	22.0698	-16000	0	16.0603	193
DATA	1657145086	89196920	226	256	2022-07-06	14:04:46	nan	nan	nan	100.23	22.0483	100.751	39.6111	0	0	22.0928	-16000	0	16.0588	206
DATA	1657145087	89196920	230	256	2022-07-06	14:04:47	nan	nan	nan	100.23	22.0688	100.749	39.6115	0	0	22.116	-16000	0	16.0572	155
DATA	1657145088	89196920	234	256	2022-07-06	14:04:48	nan	nan	nan	100.23	22.0891	100.749	39.6119	0	0	22.1389	-16000	0	16.056	171
DATA	1657145089	89196920	238	256	2022-07-06	14:04:49	nan	nan	nan	100.231	22.1081	100.749	39.6119	0	0	22.1608	-16000	0	16.0552	  5
DATA	1657145090	89196920	242	256	2022-07-06	14:04:50	nan	nan	nan	100.228	22.1275	100.749	39.6127	0	0	22.1829	-16000	0	16.0533	254
DATA	1657145091	88865041	246	256	2022-07-06	14:04:51	nan	nan	nan	100.231	22.1475	100.75	39.6127	0	0	22.2067	-16000	0	16.0521	188
DATA	1657145092	88865041	250	256	2022-07-06	14:04:52	nan	nan	nan	100.232	22.1675	100.752	39.6131	0	0	22.2298	-16000	0	16.0509	245
DATA	1657145093	338865041	255	256	2022-07-06	14:04:53	nan	nan	nan	100.233	22.1988	100.749	39.6134	0	0	22.2667	-16000	0	16.0482	 59
DATA	1657145094	88865041	258	256	2022-07-06	14:04:54	nan	nan	nan	100.229	22.2105	100.748	39.6134	0	0	22.2791	-16000	0	16.0487	  7
DATA	1657145095	88865041	262	256	2022-07-06	14:04:55	nan	nan	nan	100.23	22.2275	100.748	39.6142	0	0	22.2989	-16000	0	16.047	164
DATA	1657145096	88865041	266	256	2022-07-06	14:04:56	nan	nan	nan	100.229	22.2468	100.749	39.6142	0	0	22.3218	-16000	0	16.0458	 15
DATA	1657145097	338865041	271	256	2022-07-06	14:04:57	nan	nan	nan	100.23	22.2779	100.748	39.615	0	0	22.3577	-16000	0	16.0419	219
DATA	1657145098	88865041	274	256	2022-07-06	14:04:58	nan	nan	nan	100.23	22.2866	100.75	39.615	0	0	22.3684	-16000	0	16.0445	118
DATA	1657145099	88521003	278	256	2022-07-06	14:04:59	nan	nan	nan	100.229	22.3038	100.747	39.615	0	0	22.3895	-16000	0	16.0431	212
DATA	1657145100	88521003	282	256	2022-07-06	14:05:00	nan	nan	nan	100.229	22.3231	100.747	39.6156	0	0	22.4122	-16000	0	16.0415	212
DATA	1657145101	88521003	286	256	2022-07-06	14:05:01	nan	nan	nan	100.229	22.3423	100.747	39.6158	0	0	22.4351	-16000	0	16.0415	227
DATA	1657145102	338521003	291	256	2022-07-06	14:05:02	nan	nan	nan	100.227	22.3745	100.746	39.6165	0	0	22.4729	-16000	0	16.0388	 35
DATA	1657145103	88521003	294	256	2022-07-06	14:05:03	nan	nan	nan	100.229	22.3833	100.747	39.6165	0	0	22.4836	-16000	0	16.0388	250
DATA	1657145104	338521003	299	256	2022-07-06	14:05:04	nan	nan	nan	100.228	22.4129	100.746	39.6173	0	0	22.519	-16000	0	16.0356	240
DATA	1657145105	88521003	302	256	2022-07-06	14:05:05	nan	nan	nan	100.228	22.4215	100.747	39.6173	0	0	22.5292	-16000	0	16.0367	231
DATA	1657145106	88174104	306	256	2022-07-06	14:05:06	nan	nan	nan	100.228	22.4379	100.746	39.6173	0	0	22.5485	-16000	0	16.036	202
DATA	1657145107	88174104	310	256	2022-07-06	14:05:07	nan	nan	nan	100.227	22.4558	100.746	39.6177	0	0	22.5711	-16000	0	16.0344	243
DATA	1657145108	88174104	314	256	2022-07-06	14:05:08	nan	nan	nan	100.229	22.4749	100.746	39.6181	0	0	22.5938	-16000	0	16.0337	  5
DATA	1657145109	88174104	318	256	2022-07-06	14:05:09	nan	nan	nan	100.227	22.4937	100.746	39.6183	0	0	22.6164	-16000	0	16.0329	  3
DATA	1657145110	588174104	324	256	2022-07-06	14:05:10	nan	nan	nan	100.228	22.5267	100.745	39.6188	0	0	22.6563	-16000	0	16.0309	 40
DATA	1657145111	88174104	326	256	2022-07-06	14:05:11	nan	nan	nan	100.227	22.5357	100.746	39.6188	0	0	22.6675	-16000	0	16.0301	243
DATA	1657145112	88174104	330	256	2022-07-06	14:05:12	nan	nan	nan	100.227	22.55	100.744	39.6196	0	0	22.6847	-16000	0	16.0297	146
DATA	1657145113	88174104	334	256	2022-07-06	14:05:13	nan	nan	nan	100.227	22.5696	100.744	39.6196	0	0	22.7077	-16000	0	16.0286	  2
DATA	1657145114	87826013	338	256	2022-07-06	14:05:14	nan	nan	nan	100.228	22.5882	100.744	39.6202	0	0	22.7303	-16000	0	16.0282	240
DATA	1657145115	87826013	342	256	2022-07-06	14:05:15	nan	nan	nan	100.227	22.6055	100.744	39.6204	0	0	22.7519	-16000	0	16.0274	241
DATA	1657145116	87826013	346	256	2022-07-06	14:05:16	nan	nan	nan	100.227	22.6241	100.744	39.6208	0	0	22.7745	-16000	0	16.0262	246
DATA	1657145117	87826013	350	256	2022-07-06	14:05:17	nan	nan	nan	100.227	22.6426	100.743	39.6212	0	0	22.7971	-16000	0	16.0258	248
DATA	1657145118	87826013	354	256	2022-07-06	14:05:18	nan	nan	nan	100.227	22.6614	100.744	39.6214	0	0	22.8196	-16000	0	16.0242	249
DATA	1657145119	87826013	358	256	2022-07-06	14:05:19	nan	nan	nan	100.227	22.6796	100.744	39.6219	0	0	22.8424	-16000	0	16.0242	  9
DATA	1657145120	87826013	362	256	2022-07-06	14:05:20	nan	nan	nan	100.227	22.6981	100.742	39.6219	0	0	22.865	-16000	0	16.0231	189
DATA	1657145121	87511062	366	256	2022-07-06	14:05:21	nan	nan	nan	100.227	22.7167	100.742	39.6225	0	0	22.8876	-16000	0	16.0227	247
DATA	1657145122	87511062	370	256	2022-07-06	14:05:22	nan	nan	nan	100.227	22.7355	100.744	39.6227	0	0	22.9105	-16000	0	16.0215	230
DATA	1657145123	87511062	374	256	2022-07-06	14:05:23	nan	nan	nan	100.226	22.7536	100.743	39.6231	0	0	22.9325	-16000	0	16.0207	235
DATA	1657145124	87511062	378	256	2022-07-06	14:05:24	nan	nan	nan	100.227	22.7713	100.743	39.6235	0	0	22.9544	-16000	0	16.0191	248
DATA	1657145125	337511062	383	256	2022-07-06	14:05:25	nan	nan	nan	100.227	22.8011	100.743	39.6235	0	0	22.9899	-16000	0	16.0152	 38
DATA	1657145126	87511062	386	256	2022-07-06	14:05:26	nan	nan	nan	100.227	22.8103	100.743	39.6235	0	0	23.0024	-16000	0	16.0178	235
DATA	1657145127	87511062	390	256	2022-07-06	14:05:27	nan	nan	nan	100.227	22.8264	100.742	39.6235	0	0	23.0217	-16000	0	16.0168	242
DATA	1657145128	337186098	395	256	2022-07-06	14:05:28	nan	nan	nan	100.227	22.8553	100.743	39.6242	0	0	23.0572	-16000	0	16.0152	 53
DATA	1657145129	87186098	398	256	2022-07-06	14:05:29	nan	nan	nan	100.225	22.8657	100.743	39.6242	0	0	23.0699	-16000	0	16.0152	 25
DATA	1657145130	87186098	402	256	2022-07-06	14:05:30	nan	nan	nan	100.227	22.8815	100.742	39.6248	0	0	23.0892	-16000	0	16.014	198
DATA	1657145131	337186098	407	256	2022-07-06	14:05:31	nan	nan	nan	100.225	22.9108	100.743	39.625	0	0	23.1251	-16000	0	16.0105	230
DATA	1657145132	837186098	413	256	2022-07-06	14:05:32	nan	nan	nan	100.226	22.9358	100.739	39.6258	0	0	23.1552	-16000	0	16.0113	 50
DATA	1657145133	337186098	415	256	2022-07-06	14:05:33	nan	nan	nan	100.224	22.9445	100.74	39.6258	0	0	23.1663	-16000	0	16.0113	247
DATA	1657145134	87186098	418	256	2022-07-06	14:05:34	nan	nan	nan	100.225	22.9559	100.741	39.6263	0	0	23.18	-16000	0	16.0116	158
DATA	1657145135	87186098	422	256	2022-07-06	14:05:35	nan	nan	nan	100.226	22.9722	100.74	39.6266	0	0	23.1997	-16000	0	16.0101	209
DATA	1657145137	336819887	431	256	2022-07-06	14:05:37	nan	nan	nan	100.225	23.0211	100.739	39.6273	0	0	23.2593	-16000	0	16.0089	 57
DATA	1657145138	336819887	435	256	2022-07-06	14:05:38	nan	nan	nan	100.225	23.0314	100.74	39.6277	0	0	23.2731	-16000	0	16.0078	  7
DATA	1657145139	336819887	439	256	2022-07-06	14:05:39	nan	nan	nan	100.224	23.0496	100.739	39.6281	0	0	23.2954	-16000	0	16.0066	 78
DATA	1657145140	586819887	444	256	2022-07-06	14:05:40	nan	nan	nan	100.225	23.078	100.739	39.6289	0	0	23.3312	-16000	0	16.0042	  5
DATA	1657145141	86819887	446	256	2022-07-06	14:05:41	nan	nan	nan	100.224	23.0846	100.739	39.6289	0	0	23.3381	-16000	0	16.005	219
DATA	1657145142	86819887	450	256	2022-07-06	14:05:42	nan	nan	nan	100.224	23.0988	100.739	39.6291	0	0	23.3548	-16000	0	16.0046	 18
DATA	1657145143	86819887	454	256	2022-07-06	14:05:43	nan	nan	nan	100.224	23.1169	100.739	39.6296	0	0	23.3771	-16000	0	16.0034	 16
DATA	1657145144	86452960	458	256	2022-07-06	14:05:44	nan	nan	nan	100.224	23.1353	100.738	39.6298	0	0	23.3994	-16000	0	16.0027	 12
DATA	1657145145	86452960	462	256	2022-07-06	14:05:45	nan	nan	nan	100.224	23.1533	100.739	39.6304	0	0	23.4216	-16000	0	16.0019	243
DATA	1657145146	586452960	468	256	2022-07-06	14:05:46	nan	nan	nan	100.224	23.185	100.738	39.6312	0	0	23.4613	-16000	0	15.9995	 22
DATA	1657145147	86452960	470	256	2022-07-06	14:05:47	nan	nan	nan	100.223	23.194	100.738	39.6312	0	0	23.472	-16000	0	15.9987	171
DATA	1657145148	836452960	477	256	2022-07-06	14:05:48	nan	nan	nan	100.223	23.2224	100.738	39.632	0	0	23.5067	-16000	0	15.999	225
DATA	1657145149	586452960	480	256	2022-07-06	14:05:49	nan	nan	nan	100.223	23.2356	100.738	39.632	0	0	23.5226	-16000	0	15.999	226
DATA	1657145150	86452960	482	256	2022-07-06	14:05:50	nan	nan	nan	100.223	23.2472	100.738	39.6327	0	0	23.5365	-16000	0	15.9972	  9
DATA	1657145151	586132049	488	256	2022-07-06	14:05:51	nan	nan	nan	100.222	23.2749	100.735	39.6327	0	0	23.5699	-16000	0	15.9972	 76
DATA	1657145152	86132049	490	256	2022-07-06	14:05:52	nan	nan	nan	100.221	23.2842	100.736	39.6335	0	0	23.5806	-16000	0	15.9956	  3
DATA	1657145153	86132049	494	256	2022-07-06	14:05:53	nan	nan	nan	100.222	23.2977	100.736	39.6335	0	0	23.5974	-16000	0	15.996	228
DATA	1657145154	86132049	498	256	2022-07-06	14:05:54	nan	nan	nan	100.222	23.3158	100.737	39.6339	0	0	23.6198	-16000	0	15.9956	 27
DATA	1657145155	86132049	502	256	2022-07-06	14:05:55	nan	nan	nan	100.221	23.3338	100.735	39.6343	0	0	23.6427	-16000	0	15.9944	255
DATA	1657145156	586132049	508	256	2022-07-06	14:05:56	nan	nan	nan	100.222	23.3654	100.735	39.635	0	0	23.6814	-16000	0	15.9932	  9
DATA	1657145157	336132049	511	256	2022-07-06	14:05:57	nan	nan	nan	100.222	23.3756	100.733	39.635	0	0	23.6929	-16000	0	15.9922	  5
DATA	1657145158	86132049	514	256	2022-07-06	14:05:58	nan	nan	nan	100.22	23.389	100.734	39.6358	0	0	23.7101	-16000	0	15.9922	161
DATA	1657145159	85764884	518	256	2022-07-06	14:05:59	nan	nan	nan	100.221	23.4049	100.733	39.6358	0	0	23.729	-16000	0	15.9909	243
DATA	1657145160	85764884	522	256	2022-07-06	14:06:00	nan	nan	nan	100.221	23.423	100.735	39.6366	0	0	23.751	-16000	0	15.9905	153
DATA	1657145161	585764884	528	256	2022-07-06	14:06:01	nan	nan	nan	100.22	23.4551	100.731	39.6373	0	0	23.7897	-16000	0	15.9885	 30
DATA	1657145162	585764884	532	256	2022-07-06	14:06:02	nan	nan	nan	100.22	23.4689	100.733	39.6373	0	0	23.8065	-16000	0	15.9885	 29
DATA	1657145163	85764884	534	256	2022-07-06	14:06:03	nan	nan	nan	100.222	23.4827	100.732	39.6381	0	0	23.823	-16000	0	15.9878	226
DATA	1657145164	85764884	538	256	2022-07-06	14:06:04	nan	nan	nan	100.22	23.496	100.733	39.6381	0	0	23.8397	-16000	0	15.9874	191
DATA	1657145165	85764884	542	256	2022-07-06	14:06:05	nan	nan	nan	100.22	23.5135	100.734	39.6387	0	0	23.8603	-16000	0	15.9878	232
DATA	1657145166	85441112	546	256	2022-07-06	14:06:06	nan	nan	nan	100.22	23.5309	100.732	39.6389	0	0	23.8814	-16000	0	15.9866	218
DATA	1657145167	85441112	550	256	2022-07-06	14:06:07	nan	nan	nan	100.219	23.549	100.732	39.6397	0	0	23.9034	-16000	0	15.9862	214
DATA	1657145168	335441112	555	256	2022-07-06	14:06:08	nan	nan	nan	100.22	23.5788	100.731	39.6404	0	0	23.9397	-16000	0	15.9854	 14
DATA	1657145169	85441112	558	256	2022-07-06	14:06:09	nan	nan	nan	100.219	23.5871	100.732	39.6404	0	0	23.9493	-16000	0	15.9844	 19
DATA	1657145170	585441112	564	256	2022-07-06	14:06:10	nan	nan	nan	100.22	23.6171	100.731	39.6412	0	0	23.986	-16000	0	15.983	142
DATA	1657145171	835441112	569	256	2022-07-06	14:06:11	nan	nan	nan	100.218	23.6436	100.73	39.642	0	0	24.0172	-16000	0	15.9823	194
DATA	1657145172	85441112	570	256	2022-07-06	14:06:12	nan	nan	nan	100.218	23.6463	100.731	39.642	0	0	24.02	-16000	0	15.9807	 84
DATA	1657145173	585112094	576	256	2022-07-06	14:06:13	nan	nan	nan	100.218	23.6707	100.731	39.6424	0	0	24.0498	-16000	0	15.9815	 60
DATA	1657145174	335112094	579	256	2022-07-06	14:06:14	nan	nan	nan	100.218	23.6819	100.73	39.6427	0	0	24.0627	-16000	0	15.9807	 11
DATA	1657145175	335112094	583	256	2022-07-06	14:06:15	nan	nan	nan	100.219	23.6978	100.73	39.6429	0	0	24.0822	-16000	0	15.9803	 10
DATA	1657145176	335112094	587	256	2022-07-06	14:06:16	nan	nan	nan	100.217	23.7162	100.728	39.6435	0	0	24.1041	-16000	0	15.9799	 60
DATA	1657145177	85112094	590	256	2022-07-06	14:06:17	nan	nan	nan	100.217	23.7323	100.73	39.6438	0	0	24.1232	-16000	0	15.9786	211
DATA	1657145178	85112094	594	256	2022-07-06	14:06:18	nan	nan	nan	100.217	23.7476	100.73	39.6443	0	0	24.1422	-16000	0	15.9783	220
DATA	1657145179	85112094	598	256	2022-07-06	14:06:19	nan	nan	nan	100.217	23.7658	100.728	39.6447	0	0	24.1647	-16000	0	15.9779	 45
DATA	1657145180	85112094	602	256	2022-07-06	14:06:20	nan	nan	nan	100.217	23.7839	100.729	39.6452	0	0	24.186	-16000	0	15.9768	216
DATA	1657145181	334739923	607	256	2022-07-06	14:06:21	nan	nan	nan	100.215	23.8134	100.726	39.6458	0	0	24.2206	-16000	0	15.9744	 55
DATA	1657145182	84739923	610	256	2022-07-06	14:06:22	nan	nan	nan	100.217	23.8223	100.726	39.6458	0	0	24.2315	-16000	0	15.9765	 10
DATA	1657145183	84739923	614	256	2022-07-06	14:06:23	nan	nan	nan	100.217	23.8376	100.728	39.6466	0	0	24.2495	-16000	0	15.9756	 35
DATA	1657145184	84739923	618	256	2022-07-06	14:06:24	nan	nan	nan	100.217	23.8558	100.728	39.647	0	0	24.271	-16000	0	15.9756	188
DATA	1657145185	84739923	622	256	2022-07-06	14:06:25	nan	nan	nan	100.217	23.8739	100.728	39.6474	0	0	24.2929	-16000	0	15.974	243
DATA	1657145186	334739923	627	256	2022-07-06	14:06:26	nan	nan	nan	100.217	23.9047	100.728	39.6481	0	0	24.3293	-16000	0	15.9728	 80
DATA	1657145187	84739923	630	256	2022-07-06	14:06:27	nan	nan	nan	100.216	23.9123	100.726	39.6481	0	0	24.3393	-16000	0	15.9734	 20
DATA	1657145188	84739923	634	256	2022-07-06	14:06:28	nan	nan	nan	100.216	23.9284	100.726	39.6481	0	0	24.3583	-16000	0	15.9728	 38
DATA	1657145189	834383010	641	256	2022-07-06	14:06:29	nan	nan	nan	100.216	23.9626	100.726	39.6489	0	0	24.3989	-16000	0	15.9723	 84
DATA	1657145190	84383010	642	256	2022-07-06	14:06:30	nan	nan	nan	100.215	23.9706	100.726	39.6489	0	0	24.4092	-16000	0	15.9697	 12
DATA	1657145191	84383010	646	256	2022-07-06	14:06:31	nan	nan	nan	100.216	23.9819	100.726	39.6495	0	0	24.4213	-16000	0	15.9709	 10
DATA	1657145192	84383010	650	256	2022-07-06	14:06:32	nan	nan	nan	100.214	24.0001	100.725	39.6497	0	0	24.4428	-16000	0	15.9705	241
DATA	1657145193	84383010	654	256	2022-07-06	14:06:33	nan	nan	nan	100.215	24.0184	100.726	39.6504	0	0	24.4643	-16000	0	15.9693	255
DATA	1657145194	84383010	658	256	2022-07-06	14:06:34	nan	nan	nan	100.214	24.0366	100.724	39.6506	0	0	24.4859	-16000	0	15.9689	 20
DATA	1657145195	84383010	662	256	2022-07-06	14:06:35	nan	nan	nan	100.214	24.0548	100.725	39.6512	0	0	24.5079	-16000	0	15.9685	  8
DATA	1657145196	334059953	667	256	2022-07-06	14:06:36	nan	nan	nan	100.213	24.0837	100.725	39.652	0	0	24.5422	-16000	0	15.965	220
DATA	1657145197	84059953	670	256	2022-07-06	14:06:37	nan	nan	nan	100.213	24.0935	100.724	39.6522	0	0	24.554	-16000	0	15.9671	222
DATA	1657145198	84059953	674	256	2022-07-06	14:06:38	nan	nan	nan	100.213	24.1094	100.724	39.6528	0	0	24.5727	-16000	0	15.967	237
DATA	1657145199	84059953	678	256	2022-07-06	14:06:39	nan	nan	nan	100.214	24.1267	100.723	39.6533	0	0	24.5931	-16000	0	15.9662	 31
DATA	1657145200	84059953	682	256	2022-07-06	14:06:40	nan	nan	nan	100.214	24.1443	100.723	39.6535	0	0	24.6135	-16000	0	15.9662	252
DATA	1657145201	84059953	686	256	2022-07-06	14:06:41	nan	nan	nan	100.213	24.1631	100.722	39.6543	0	0	24.635	-16000	0	15.9646	207
DATA	1657145202	84059953	690	256	2022-07-06	14:06:42	nan	nan	nan	100.212	24.1812	100.723	39.6547	0	0	24.6565	-16000	0	15.9646	  9
